Season,Team,Conference,Adjusted Temo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank,Avg Possession Length (Offense),Avg Possession Length (Offense) Rank,Avg Possession Length (Defense),Avg Possession Length (Defense) Rank
2024,Abilene Christian,WAC,68.5,113,70.5,65,101.5,259,99.1,294,105.6,163,103.3,126,17,103,16.9,47
2024,Air Force,MWC,61.8,359,63.4,355,106.1,178,103.5,219,113.2,322,114,346,20.5,362,17.2,95
2024,Akron,MAC,66,271,66.7,273,106.8,164,107.4,130,102.2,98,100.3,54,18,244,18,296
2024,Alabama,SEC,72.9,8,74.3,6,125.1,4,121.4,2,102.4,101,107.6,248,14.5,3,17.6,207
2024,Alabama A&M,SWAC,70.6,42,71.7,39,94.2,346,96,331,108.6,225,105,178,17.1,108,16.3,8
2024,Alabama St.,SWAC,67.1,199,69.1,138,93,352,94,347,105.3,156,100.6,60,17,99,17.6,214
2024,Albany,AE,73.1,6,74.3,7,105.3,196,104.5,199,111.1,281,106.2,215,16.1,32,16.3,9
2024,Alcorn St.,SWAC,66.4,248,68.3,188,106.4,172,105.1,183,116.6,354,113.3,341,18.4,288,17.1,70
2024,American,Pat,62.8,355,62.9,359,103.5,227,106.3,150,113.9,334,106.9,227,19.6,349,18.4,349
2024,Appalachian St.,SB,67,215,68.7,158,108.3,138,109.5,93,98.6,40,97.3,18,17.8,217,16.9,53
2024,Arizona,P12,72.1,16,73.5,10,120.7,9,117.1,13,93.5,10,96.4,9,15.2,8,17.5,169
2024,Arizona St.,P12,69.1,83,70.6,63,104,217,97.5,315,100,62,104.6,172,17,107,16.7,31
2024,Arkansas,SEC,70.8,36,72.2,26,109.9,103,105.9,164,104.1,134,109.1,273,17.3,144,16.2,5
2024,Arkansas Pine Bluff,SWAC,71.8,18,73,15,102.2,251,103.9,213,118.9,360,114.4,352,15.4,13,17.5,177
2024,Arkansas St.,SB,68.1,139,70.2,79,113.5,61,112.5,39,110.7,269,109.9,293,17.1,122,17,56
2024,Army,Pat,63.1,352,63.2,357,90.9,357,93.7,349,109.8,247,102.9,114,19.2,340,18.4,344
2024,Auburn,SEC,69.9,58,70.9,55,120.4,10,117.2,12,92.5,5,96.3,8,16.3,49,17.7,234
2024,Austin Peay,ASun,64.7,326,65.6,325,108.1,142,109.6,91,114.1,337,111.8,326,19,335,17.5,179
2024,Ball St.,MAC,66.9,220,67.5,241,103,240,105.3,177,110.8,271,106.6,221,17.5,179,17.9,269
2024,Baylor,B12,65.7,281,66.7,275,122.4,6,117.5,10,100.5,68,104.3,160,18.3,279,17.9,276
2024,Bellarmine,ASun,64.8,316,66.5,281,100.3,280,100.6,272,113.4,329,114.4,351,18.3,284,17.8,255
2024,Belmont,MVC,71.2,29,71.9,35,109.3,114,107.5,126,104,132,105.4,190,16.2,41,17,68
2024,Bethune Cookman,SWAC,69.8,62,70.8,57,97.9,313,98.5,304,108.9,237,102.8,111,16.6,71,17.2,101
